,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
29,tiznit,92.0,MA,2/15/2019,51.0,29.7,-9.73,61.34,6.33
30,cayenne,20.0,GF,2/15/2019,78.0,4.94,-52.33,78.8,8.05
31,tautira,75.0,PF,2/15/2019,88.0,-17.73,-149.15,78.8,23.04
32,taolanaro,,,,,,,,
33,honiara,100.0,SB,2/15/2019,100.0,-9.43,159.96,74.79,10.92
34,hilo,40.0,US,2/15/2019,60.0,19.71,-155.08,73.4,17.22
35,neiafu,40.0,TO,2/15/2019,79.0,-18.65,-173.98,84.2,6.93
36,kavieng,80.0,PG,2/15/2019,99.0,-2.57,150.8,83.93,15.61
37,ushuaia,20.0,AR,2/15/2019,67.0,-54.81,-68.31,57.2,18.34
38,sokoni,12.0,CD,2/15/2019,94.0,-12.89,28.78,63.05,1.97
39,port alfred,12.0,ZA,2/15/2019,92.0,-33.59,26.89,71.01,8.79
40,quatre cocos,75.0,MU,2/15/2019,94.0,-20.21,57.76,75.2,5.82
41,castro,0.0,CL,2/15/2019,72.0,-42.48,-73.76,66.2,11.41
42,salalah,75.0,OM,2/15/2019,69.0,17.01,54.1,75.2,6.93
43,seoul,40.0,KR,2/15/2019,54.0,37.57,126.98,30.2,6.93
44,torbay,5.0,CA,2/15/2019,85.0,47.66,-52.73,15.8,4.7
45,new norfolk,75.0,AU,2/15/2019,46.0,-42.78,147.06,73.4,4.7
46,nuuk,0.0,GL,2/15/2019,78.0,64.17,-51.74,15.8,8.05
47,longyearbyen,75.0,NO,2/15/2019,60.0,78.22,15.63,8.6,9.17
48,cherskiy,56.0,RU,2/15/2019,47.0,68.75,161.3,-29.48,3.76
49,kismayo,,,,,,,,
50,joao pinheiro,36.0,BR,2/15/2019,82.0,-17.74,-46.17,71.51,2.42
51,mount isa,0.0,AU,2/15/2019,13.0,-20.73,139.49,95.0,8.05
52,olafsvik,,,,,,,,
53,atuona,68.0,PF,2/15/2019,100.0,-9.8,-139.03,80.78,11.81
54,northam,75.0,GB,2/15/2019,100.0,51.04,-4.21,50.0,8.05
55,amderma,,,,,,,,
56,kapaa,75.0,US,2/15/2019,64.0,22.08,-159.32,78.8,20.8
57,ribeira grande,92.0,PT,2/15/2019,94.0,38.52,-28.7,62.96,28.92
58,cape town,75.0,ZA,2/15/2019,100.0,-33.93,18.42,62.6,8.05
59,tasiilaq,88.0,GL,2/15/2019,85.0,65.61,-37.64,19.4,4.7
60,dikson,88.0,RU,2/15/2019,95.0,73.51,80.55,14.09,28.81
61,comodoro rivadavia,0.0,AR,2/15/2019,23.0,-45.87,-67.48,84.2,11.41
62,hamilton,75.0,CA,2/15/2019,67.0,43.26,-79.87,26.6,13.87
63,saint-ambroise,0.0,FR,2/15/2019,92.0,47.25,-0.65,30.2,2.24
64,hovd,0.0,NO,2/15/2019,100.0,63.83,10.7,42.8,5.82
65,kruisfontein,80.0,ZA,2/15/2019,84.0,-34.0,24.73,63.77,8.46
66,punta arenas,40.0,CL,2/15/2019,77.0,-53.16,-70.91,59.0,34.45
67,aanekoski,0.0,FI,2/15/2019,92.0,62.6,25.73,30.2,3.36
68,ilulissat,64.0,GL,2/15/2019,84.0,69.22,-51.1,-0.41,8.05
69,abu samrah,92.0,SY,2/15/2019,91.0,35.3,37.18,39.56,1.97
70,luderitz,92.0,NA,2/15/2019,93.0,-26.65,15.16,62.06,2.42
71,cabo san lucas,5.0,MX,2/15/2019,57.0,22.89,-109.91,77.0,7.78
72,yar-sale,32.0,RU,2/15/2019,75.0,66.83,70.83,-11.57,4.21
73,boa vista,0.0,BR,2/15/2019,54.0,2.82,-60.67,84.2,6.93
74,bubaque,32.0,GW,2/15/2019,97.0,11.28,-15.83,79.07,6.22
75,hobyo,92.0,SO,2/15/2019,90.0,5.35,48.53,75.96,12.71
76,jamestown,0.0,AU,2/15/2019,71.0,-33.21,138.6,77.63,4.76
77,barrow,0.0,AR,2/15/2019,57.0,-38.31,-60.23,71.73,8.79
78,miramar,0.0,CR,2/15/2019,73.0,10.09,-84.73,71.6,5.82
79,suarez,75.0,CO,2/15/2019,100.0,4.05,-74.83,73.4,2.98
80,sampit,80.0,ID,2/15/2019,99.0,-2.54,112.95,77.58,7.9
81,ahipara,0.0,NZ,2/15/2019,64.0,-35.17,173.16,74.75,17.52
82,sibolga,44.0,ID,2/15/2019,91.0,1.74,98.78,77.31,1.97
83,herat,20.0,AF,2/15/2019,56.0,34.35,62.22,35.6,3.36
84,acari,92.0,BR,2/15/2019,100.0,-6.44,-36.64,69.39,2.53
85,sujiatun,0.0,CN,2/15/2019,52.0,45.81,127.11,15.8,8.95
86,iqaluit,5.0,CA,2/15/2019,68.0,63.75,-68.52,-18.41,9.17
87,bengkulu,,,,,,,,
88,samana,20.0,EC,2/15/2019,96.0,0.12,-76.97,75.11,1.41
89,chuy,80.0,UY,2/15/2019,85.0,-33.69,-53.46,69.53,8.34
90,gladstone,75.0,AU,2/15/2019,48.0,-23.84,151.26,86.0,12.75
91,norman wells,20.0,CA,2/15/2019,75.0,65.28,-126.83,-20.21,2.24
92,busselton,12.0,AU,2/15/2019,87.0,-33.64,115.35,72.5,13.71
93,klaksvik,36.0,FO,2/15/2019,86.0,62.23,-6.59,33.8,2.24
94,belaya gora,0.0,RU,2/15/2019,0.0,68.54,146.19,-47.61,2.75
95,grand river south east,,,,,,,,
96,hermanus,64.0,ZA,2/15/2019,98.0,-34.42,19.24,61.07,2.42
97,fortuna,0.0,ES,2/15/2019,93.0,38.18,-1.13,55.4,5.82
98,owando,92.0,CG,2/15/2019,97.0,-0.49,15.91,72.68,3.65
99,nome,90.0,US,2/15/2019,88.0,30.04,-94.42,69.8,11.41
100,saint-augustin,0.0,FR,2/15/2019,93.0,44.83,-0.61,42.8,5.82
101,arraial do cabo,76.0,BR,2/15/2019,100.0,-22.97,-42.02,74.39,17.4
102,vila velha,40.0,BR,2/15/2019,88.0,-3.71,-38.6,82.4,4.7
103,tekeli,36.0,KZ,2/15/2019,67.0,44.86,78.76,15.48,2.42
104,rock sound,80.0,BS,2/15/2019,100.0,24.9,-76.2,73.71,2.08
105,praia,0.0,BR,2/15/2019,88.0,-20.25,-43.81,71.6,3.36
106,loanda,68.0,BR,2/15/2019,83.0,-22.93,-53.14,75.56,10.58
107,pingzhuang,,,,,,,,
108,butaritari,0.0,KI,2/15/2019,100.0,3.07,172.79,81.59,8.12
109,bom jardim,88.0,BR,2/15/2019,97.0,-7.8,-35.59,73.71,2.98
110,nanortalik,0.0,GL,2/15/2019,100.0,60.14,-45.24,22.64,12.26
111,east london,12.0,ZA,2/15/2019,98.0,-33.02,27.91,75.02,9.57
112,oussouye,48.0,SN,2/15/2019,78.0,12.49,-16.54,74.39,16.28
113,puerto ayora,56.0,EC,2/15/2019,100.0,-0.74,-90.35,76.59,0.85
114,sentyabrskiy,,,,,,,,
115,mamallapuram,20.0,IN,2/15/2019,88.0,12.63,80.17,78.8,3.36
116,raudeberg,92.0,NO,2/15/2019,87.0,61.99,5.14,42.8,25.28
117,deh rawud,,,,,,,,
118,natal,40.0,BR,2/15/2019,83.0,-5.81,-35.21,82.4,5.82
119,provideniya,88.0,RU,2/15/2019,95.0,64.42,-173.23,30.2,30.82
120,vanderhoof,88.0,CA,2/15/2019,61.0,54.02,-124.02,7.83,4.65
121,eureka,75.0,US,2/15/2019,100.0,40.8,-124.16,42.8,10.29
122,kaitangata,68.0,NZ,2/15/2019,61.0,-46.28,169.85,56.61,17.74
123,mahon,40.0,IE,2/15/2019,93.0,51.89,-8.4,42.8,11.41
124,port keats,56.0,AU,2/15/2019,82.0,-14.25,129.55,89.28,3.65
125,waipawa,32.0,NZ,2/15/2019,53.0,-39.94,176.59,66.33,17.74
126,aksu,90.0,KZ,2/15/2019,92.0,52.04,76.93,15.8,11.18
127,nabire,48.0,ID,2/15/2019,88.0,-3.36,135.5,77.04,2.64
128,los llanos de aridane,80.0,ES,2/15/2019,63.0,28.66,-17.92,60.8,11.41
129,waingapu,12.0,ID,2/15/2019,85.0,-9.65,120.26,84.51,3.2
130,avarua,12.0,CK,2/15/2019,94.0,-21.21,-159.78,78.8,3.36
131,upernavik,32.0,GL,2/15/2019,100.0,72.79,-56.15,-4.73,2.19
132,mount gambier,0.0,AU,2/15/2019,50.0,-37.83,140.78,75.2,5.82
133,chicama,75.0,PE,2/15/2019,83.0,-7.84,-79.15,75.2,8.05
134,tuatapere,48.0,NZ,2/15/2019,100.0,-46.13,167.69,54.5,13.6
135,redmond,90.0,US,2/15/2019,100.0,47.67,-122.12,44.6,5.77
136,baoro,0.0,CF,2/15/2019,36.0,5.69,15.95,68.27,9.24
137,muros,0.0,ES,2/15/2019,93.0,42.77,-9.06,50.0,1.12
138,tha chang,0.0,TH,2/15/2019,92.0,14.76,100.39,81.99,4.65
139,zanjan,20.0,IR,2/15/2019,90.0,36.67,48.48,28.13,9.91
140,dingle,8.0,PH,2/15/2019,83.0,11.0,122.67,79.11,14.83
141,mataura,56.0,NZ,2/15/2019,63.0,-46.19,168.86,56.79,16.73
142,san quintin,0.0,PH,2/15/2019,51.0,17.54,120.52,81.99,3.87
143,zhuhai,0.0,CN,2/15/2019,45.0,40.71,112.04,5.0,4.47
144,mgandu,0.0,TZ,2/15/2019,76.0,-5.96,34.11,66.29,8.34
145,noumea,68.0,NC,2/15/2019,94.0,-22.28,166.46,78.8,18.34
146,saint-philippe,90.0,CA,2/15/2019,94.0,45.36,-73.48,33.8,27.51
147,pacific grove,80.0,US,2/15/2019,87.0,36.62,-121.92,46.4,7.78
148,thunder bay,5.0,CA,2/15/2019,78.0,48.41,-89.26,8.6,4.7
149,los santos,40.0,CO,2/15/2019,94.0,6.76,-73.1,71.6,5.82
150,mogwase,92.0,ZA,2/15/2019,99.0,-25.28,27.22,63.86,3.65
151,onega,0.0,RU,2/15/2019,81.0,63.91,38.09,16.74,7.56
152,coihaique,0.0,CL,2/15/2019,67.0,-45.58,-72.07,62.6,2.24
153,mayumba,92.0,GA,2/15/2019,100.0,-3.44,10.65,77.09,3.42
154,nishihara,75.0,JP,2/15/2019,61.0,35.74,139.53,50.0,5.82
155,port hardy,90.0,CA,2/15/2019,100.0,50.7,-127.42,33.8,5.82
156,port hedland,0.0,AU,2/15/2019,47.0,-20.31,118.58,98.6,12.75
157,port elizabeth,40.0,US,2/15/2019,62.0,39.31,-74.98,55.4,5.82
158,ilmajoki,90.0,FI,2/15/2019,100.0,62.73,22.58,33.8,8.05
159,sisimiut,20.0,GL,2/15/2019,60.0,66.94,-53.67,-21.29,1.86
160,tilichiki,88.0,RU,2/15/2019,89.0,60.47,166.1,24.66,4.43
161,ostrovnoy,44.0,RU,2/15/2019,90.0,68.05,39.51,22.1,13.38
162,kulhudhuffushi,36.0,MV,2/15/2019,100.0,6.62,73.07,82.49,11.48
163,kodiak,90.0,US,2/15/2019,56.0,39.95,-94.76,14.0,5.82
164,rantepao,36.0,ID,2/15/2019,86.0,-2.97,119.9,76.46,2.98
165,cairns,0.0,AU,2/15/2019,46.0,-16.92,145.77,91.4,10.29
166,hobart,75.0,AU,2/15/2019,46.0,-42.88,147.33,73.4,4.7
167,gillette,1.0,US,2/15/2019,79.0,44.29,-105.5,21.2,14.99
168,ningyang,8.0,CN,2/15/2019,45.0,35.76,116.79,32.72,4.65
169,bathsheba,40.0,BB,2/15/2019,78.0,13.22,-59.52,78.8,17.22
170,constitucion,5.0,MX,2/15/2019,24.0,23.99,-104.67,71.6,3.36
171,lompoc,90.0,US,2/15/2019,87.0,34.64,-120.46,51.8,8.05
172,bonthe,0.0,SL,2/15/2019,96.0,7.53,-12.5,78.08,4.21
173,narsaq,0.0,GL,2/15/2019,60.0,60.91,-46.05,8.6,5.82
174,da lat,88.0,VN,2/15/2019,80.0,11.95,108.44,66.11,3.2
175,saint george,75.0,GR,2/15/2019,88.0,39.45,22.34,41.0,2.64
176,manono,24.0,CD,2/15/2019,99.0,-7.3,27.4,69.39,2.64
177,doctor pedro p. pena,,,,,,,,
178,warqla,,,,,,,,
179,lagoa,40.0,PT,2/15/2019,93.0,37.14,-8.45,53.6,6.93
180,caucasia,88.0,CO,2/15/2019,57.0,7.98,-75.2,87.48,7.23
181,saint-michel-des-saints,44.0,CA,2/15/2019,77.0,46.68,-73.92,27.99,10.02
182,lebu,32.0,ET,2/15/2019,89.0,8.96,38.73,48.56,2.75
183,bambous virieux,75.0,MU,2/15/2019,94.0,-20.34,57.76,75.2,5.82
184,huntington beach,90.0,US,2/15/2019,100.0,33.68,-118.0,55.4,9.17
185,kidal,0.0,ML,2/15/2019,42.0,18.44,1.41,49.41,7.34
186,richards bay,36.0,ZA,2/15/2019,95.0,-28.77,32.06,70.34,2.64
187,salamanca,8.0,ES,2/15/2019,86.0,40.97,-5.66,30.2,1.12
188,puerto rondon,12.0,CO,2/15/2019,54.0,6.28,-71.1,87.35,6.33
189,waling,,,,,,,,
190,athens,90.0,US,2/15/2019,100.0,34.8,-86.97,57.2,6.93
191,malinovoye ozero,56.0,RU,2/15/2019,78.0,51.68,79.77,14.31,9.69
192,sinnamary,20.0,GF,2/15/2019,100.0,5.38,-52.96,76.41,10.02
193,kushima,75.0,JP,2/15/2019,61.0,31.5,131.29,53.6,19.46
194,grants pass,90.0,US,2/15/2019,98.0,42.44,-123.33,42.8,3.98
195,khlung,20.0,TH,2/15/2019,70.0,12.46,102.22,84.2,4.7
196,bandarbeyla,92.0,SO,2/15/2019,100.0,9.49,50.81,75.33,9.35
197,medak,20.0,IN,2/15/2019,78.0,18.05,78.27,71.6,3.36
198,lata,0.0,IN,2/15/2019,100.0,30.78,78.62,36.18,1.63
199,tsihombe,,,,,,,,
200,boyarka,,,,,,,,
201,togur,48.0,RU,2/15/2019,78.0,58.36,82.83,15.93,11.59
202,sola,0.0,FI,2/15/2019,92.0,62.78,29.36,28.4,4.7
203,kunming,0.0,CN,2/15/2019,38.0,25.04,102.71,59.0,13.42
204,ponta do sol,76.0,BR,2/15/2019,93.0,-20.63,-46.0,67.59,3.2
205,manta,0.0,RO,2/15/2019,77.0,45.1,24.1,18.59,2.75
206,saryshagan,,,,,,,,
207,tezu,92.0,IN,2/15/2019,98.0,27.93,96.16,51.98,0.96
208,krasnyy chikoy,0.0,RU,2/15/2019,53.0,50.36,108.75,5.13,3.65
209,colesberg,36.0,ZA,2/15/2019,94.0,-30.72,25.1,54.36,2.64
210,guerrero negro,0.0,MX,2/15/2019,86.0,27.97,-114.04,58.1,15.28
211,dergachi,88.0,RU,2/15/2019,89.0,51.24,48.77,23.94,11.92
212,akyab,,,,,,,,
213,jiujiang,92.0,CN,2/15/2019,100.0,29.73,115.99,40.46,16.17
214,umarkot,0.0,PK,2/15/2019,47.0,25.37,69.74,56.34,5.66
215,lamu,8.0,ID,2/15/2019,65.0,0.57,122.3,86.36,1.3
216,mar del plata,0.0,AR,2/15/2019,28.0,-46.43,-67.52,80.01,17.07
217,esperance,20.0,TT,2/15/2019,83.0,10.24,-61.45,78.8,6.93
218,carnarvon,0.0,ZA,2/15/2019,91.0,-30.97,22.13,54.05,2.75
219,den helder,0.0,NL,2/15/2019,86.0,52.96,4.76,46.4,9.17
220,marcona,,,,,,,,
221,banjar,80.0,ID,2/15/2019,98.0,-7.37,108.54,74.3,2.75
222,mahebourg,75.0,MU,2/15/2019,94.0,-20.41,57.7,75.2,5.82
223,bargal,,,,,,,,
224,urfa,,,,,,,,
225,rudnaya pristan,0.0,RU,2/15/2019,34.0,44.36,135.82,22.73,9.8
226,valparaiso,90.0,US,2/15/2019,79.0,41.47,-87.06,24.8,11.41
227,tiksi,56.0,RU,2/15/2019,74.0,71.64,128.87,-3.56,11.03
228,mahanoro,20.0,MG,2/15/2019,97.0,-19.9,48.8,72.32,2.42
229,alofi,32.0,NU,2/15/2019,74.0,-19.06,-169.92,86.0,4.7
230,toliary,,,,,,,,
231,prince albert,75.0,CA,2/15/2019,75.0,53.2,-105.75,-16.61,3.36
232,beloha,12.0,MG,2/15/2019,89.0,-25.17,45.06,73.89,9.24
233,raga,,,,,,,,
234,biak,48.0,ID,2/15/2019,89.0,-0.91,122.88,82.94,1.74
235,cockburn town,0.0,TC,2/15/2019,100.0,21.46,-71.14,74.34,3.42
236,geraldton,90.0,CA,2/15/2019,71.0,49.72,-86.95,8.6,11.41
237,gobabis,12.0,NA,2/15/2019,94.0,-22.45,18.97,62.87,10.02
238,dzerzhinsk,75.0,RU,2/15/2019,93.0,56.24,43.46,35.6,8.95
239,bredasdorp,56.0,ZA,2/15/2019,94.0,-34.53,20.04,69.8,2.24
240,qaqortoq,0.0,GL,2/15/2019,60.0,60.72,-46.03,8.6,5.82
241,vysokogornyy,24.0,RU,2/15/2019,58.0,50.1,139.13,6.62,7.23
242,meulaboh,36.0,ID,2/15/2019,100.0,4.14,96.13,81.09,2.86
243,attawapiskat,,,,,,,,
244,saldanha,20.0,PT,2/15/2019,83.0,41.42,-6.55,28.76,4.43
245,concepcion del oro,0.0,MX,2/15/2019,65.0,24.63,-101.42,54.63,2.19
246,kerrville,1.0,US,2/15/2019,67.0,30.05,-99.14,62.6,6.67
247,georgetown,20.0,GY,2/15/2019,94.0,6.8,-58.16,75.2,4.7
248,homer,1.0,US,2/15/2019,42.0,59.64,-151.54,28.4,9.17
249,nadvoitsy,20.0,RU,2/15/2019,79.0,63.89,34.27,18.59,5.88
250,brisbane,75.0,AU,2/15/2019,48.0,-27.47,153.02,86.0,13.87
251,souillac,0.0,FR,2/15/2019,86.0,45.6,-0.6,42.8,4.7
252,naze,56.0,NG,2/15/2019,79.0,5.43,7.07,69.26,1.74
253,kasongo,92.0,CD,2/15/2019,85.0,-4.43,26.67,71.6,2.86
254,huilong,92.0,CN,2/15/2019,96.0,28.89,110.18,34.79,5.1
255,barentsburg,,,,,,,,
256,abu dhabi,0.0,AE,2/15/2019,68.0,24.47,54.37,66.2,5.82
257,labutta,,,,,,,,
258,quesnel,90.0,CA,2/15/2019,72.0,52.98,-122.49,17.6,6.93
259,tambovka,20.0,UA,2/15/2019,89.0,46.93,35.45,22.23,8.34
260,serabu,0.0,SL,2/15/2019,84.0,7.79,-12.05,77.63,4.09
261,adrar,0.0,DZ,2/15/2019,26.0,27.87,-0.29,48.2,10.29
262,carutapera,92.0,BR,2/15/2019,97.0,-1.2,-46.02,78.26,6.33
263,kahului,75.0,US,2/15/2019,78.0,20.89,-156.47,73.4,18.34
264,toamasina,40.0,MG,2/15/2019,94.0,-18.17,49.38,73.4,2.42
265,sao joao da barra,68.0,BR,2/15/2019,100.0,-21.64,-41.05,78.39,13.04
266,ondangwa,0.0,NA,2/15/2019,19.0,-17.91,15.98,69.8,3.36
267,baruun-urt,0.0,MN,2/15/2019,42.0,46.68,113.28,10.4,10.25
268,samarai,44.0,PG,2/15/2019,100.0,-10.62,150.67,81.99,27.25
269,hoi an,20.0,VN,2/15/2019,78.0,15.88,108.33,78.8,5.82
270,weymouth,90.0,US,2/15/2019,81.0,42.22,-70.94,51.8,13.87
271,cao bang,92.0,VN,2/15/2019,100.0,22.67,106.25,66.2,3.76
272,goba,0.0,ET,2/15/2019,81.0,7.01,39.97,43.16,2.53
273,dabat,0.0,ET,2/15/2019,72.0,12.98,37.77,53.91,1.74
274,husavik,8.0,CA,2/15/2019,49.0,50.56,-96.99,-17.06,2.86
275,isla mujeres,20.0,MX,2/15/2019,83.0,21.23,-86.73,69.8,3.36
276,yining,92.0,CN,2/15/2019,100.0,29.04,114.56,39.78,2.98
277,morondava,32.0,MG,2/15/2019,100.0,-20.3,44.28,78.17,3.98
278,haines junction,44.0,CA,2/15/2019,84.0,60.75,-137.51,0.54,2.42
279,svetlaya,8.0,RU,2/15/2019,100.0,46.54,138.33,22.86,2.98
280,decatur,90.0,US,2/15/2019,100.0,35.51,-84.79,57.2,3.36
281,bilma,0.0,NE,2/15/2019,34.0,18.69,12.92,45.95,10.02
282,pevek,76.0,RU,2/15/2019,100.0,69.7,170.27,-12.38,5.55
283,khatanga,64.0,RU,2/15/2019,85.0,71.98,102.47,-5.81,16.51
284,emerald,75.0,AU,2/15/2019,43.0,-23.53,148.16,87.8,8.05
285,abalak,0.0,NE,2/15/2019,34.0,15.46,6.28,50.99,11.14
286,amazar,0.0,RU,2/15/2019,49.0,53.86,120.88,15.35,4.88
287,kungurtug,0.0,RU,2/15/2019,50.0,50.6,97.53,-7.79,3.53
288,sterling,40.0,US,2/15/2019,34.0,39.0,-77.4,62.6,19.46
289,guarapari,75.0,BR,2/15/2019,83.0,-20.67,-40.5,80.6,10.92
290,sesimbra,0.0,PT,2/15/2019,71.0,38.45,-9.1,53.6,5.82
291,ballina,92.0,IE,2/15/2019,96.0,54.11,-9.15,48.06,17.85
292,ust-nera,0.0,RU,2/15/2019,0.0,64.57,143.24,-46.89,2.19
293,evans,1.0,US,2/15/2019,59.0,40.38,-104.69,41.0,4.7
294,marzuq,0.0,YE,2/15/2019,83.0,14.4,46.47,38.75,2.42
295,vardo,1.0,US,2/15/2019,16.0,39.62,-77.74,51.8,11.41
296,sitka,0.0,US,2/15/2019,62.0,37.17,-99.65,25.56,11.14
297,buariki,,,,,,,,
298,chistogorskiy,24.0,RU,2/15/2019,55.0,53.98,87.38,3.06,2.75
299,bontang,44.0,ID,2/15/2019,87.0,0.12,117.47,83.66,8.68
300,ust-omchug,8.0,RU,2/15/2019,45.0,61.13,149.63,-30.51,3.42
301,wilmington,75.0,US,2/15/2019,84.0,39.75,-75.55,57.2,16.11
302,victoria,75.0,BN,2/15/2019,74.0,5.28,115.24,87.8,1.12
303,dodge city,90.0,US,2/15/2019,72.0,37.75,-100.02,19.4,8.05
304,mapastepec,0.0,MX,2/15/2019,89.0,15.44,-92.9,69.93,1.97
305,kindu,44.0,CD,2/15/2019,94.0,-2.95,25.92,71.33,1.63
306,tawkar,,,,,,,,
307,kamenskoye,,,,,,,,
308,doba,0.0,TD,2/15/2019,30.0,8.66,16.85,66.38,11.7
309,kukuna,0.0,SL,2/15/2019,84.0,8.64,-12.57,75.69,3.42
310,rawson,0.0,AR,2/15/2019,33.0,-43.3,-65.11,76.82,13.38
311,kununurra,40.0,AU,2/15/2019,56.0,-15.77,128.74,93.2,5.82
312,saint-pierre,0.0,FR,2/15/2019,74.0,48.95,4.24,37.4,8.05
313,airai,20.0,TL,2/15/2019,65.0,-8.93,125.41,82.71,1.63
314,havoysund,68.0,NO,2/15/2019,62.0,71.0,24.66,24.8,28.86
315,lalibela,56.0,ET,2/15/2019,98.0,12.04,39.05,50.18,2.08
316,laytown,40.0,IE,2/15/2019,81.0,53.68,-6.24,48.2,12.75
317,lagdo,0.0,CM,2/15/2019,28.0,9.06,13.67,68.0,2.24
318,port macquarie,90.0,AU,2/15/2019,44.0,-31.43,152.91,78.8,11.41
319,nguiu,,,,,,,,
320,strezhevoy,90.0,RU,2/15/2019,85.0,60.73,77.6,14.0,11.18
321,uitenhage,90.0,ZA,2/15/2019,94.0,-33.77,25.4,71.6,6.93
322,kaeo,0.0,NZ,2/15/2019,37.0,-35.1,173.78,80.42,15.5
323,lavrentiya,92.0,RU,2/15/2019,94.0,65.58,-170.99,18.05,41.79
324,havre-saint-pierre,75.0,CA,2/15/2019,92.0,50.23,-63.6,23.0,9.17
325,omboue,76.0,GA,2/15/2019,100.0,-1.57,9.26,77.36,4.43
326,katsuura,75.0,JP,2/15/2019,86.0,33.93,134.5,51.8,17.22
327,maniwaki,88.0,CA,2/15/2019,75.0,46.38,-75.98,26.15,9.24
328,codrington,75.0,AU,2/15/2019,69.0,-28.95,153.24,80.6,14.99
329,conceicao do araguaia,32.0,BR,2/15/2019,99.0,-8.26,-49.26,76.14,3.53
330,kharsia,92.0,IN,2/15/2019,99.0,21.99,83.11,63.95,4.43
331,paris,0.0,FR,2/15/2019,71.0,48.86,2.35,39.2,3.36
332,vagur,32.0,FO,2/15/2019,100.0,61.47,-6.81,44.24,6.33
333,gulshat,,,,,,,,
334,pangnirtung,36.0,CA,2/15/2019,91.0,66.15,-65.72,-20.97,4.54
335,doha,0.0,QA,2/15/2019,77.0,25.29,51.53,69.8,28.86
336,zaysan,20.0,KZ,2/15/2019,38.0,47.47,84.87,-5.45,2.19
337,karkaralinsk,,,,,,,,
338,los alamos,1.0,US,2/15/2019,62.0,35.88,-106.3,41.0,4.54
339,logan,90.0,US,2/15/2019,80.0,41.73,-111.83,35.6,3.36
340,balikpapan,20.0,ID,2/15/2019,66.0,-1.24,116.86,86.0,13.87
341,shingu,75.0,JP,2/15/2019,66.0,33.72,135.99,51.8,18.34
342,san rafael del sur,20.0,NI,2/15/2019,61.0,11.85,-86.44,82.4,9.17
343,pangkalanbuun,32.0,ID,2/15/2019,95.0,-2.68,111.62,83.43,4.21
344,chagda,,,,,,,,
345,cidreira,68.0,BR,2/15/2019,95.0,-30.17,-50.22,68.18,9.24
346,martapura,40.0,ID,2/15/2019,83.0,-3.41,114.85,82.4,6.93
347,fairbanks,1.0,US,2/15/2019,76.0,64.84,-147.72,-4.01,5.44
348,cooma,56.0,AU,2/15/2019,36.0,-36.24,149.13,77.0,8.05
349,tomatlan,0.0,MX,2/15/2019,85.0,19.93,-105.25,69.66,2.08
350,pucallpa,75.0,PE,2/15/2019,94.0,-8.38,-74.54,75.2,4.7
351,warrnambool,0.0,AU,2/15/2019,86.0,-38.38,142.48,68.36,7.23
352,pierre,90.0,US,2/15/2019,84.0,44.37,-100.35,6.8,13.87
